"seq","stage","check","severity","result","value","detail","time"
1,"Stage 0 — Setup","Run stamped","info","INFO","048ef601",NA,2026-08-15 11:02:00.480222
2,"Stage 0 — Setup","Cohort entry","info","INFO","grade 9 in 2022",NA,2026-08-15 11:02:00.549154
3,"Stage 0 — Setup","Years required","info","INFO","4",NA,2026-08-15 11:02:00.55238
4,"Stage 0 — Setup","Duration rule","info","INFO","all_years, >= 200 days/yr",NA,2026-08-15 11:02:00.555034
5,"Stage 0 — Setup","Progression rule","info","INFO","all_years",NA,2026-08-15 11:02:00.557464
6,"Stage 0 — Setup","Days enrolled rule","info","INFO","sum_of_spells",NA,2026-08-15 11:02:00.559906
7,"Stage 0 — Setup","Negative days treatment","info","INFO","floor_zero",NA,2026-08-15 11:02:00.562455
8,"Stage 0 — Setup","Schools in scope","info","INFO","13",NA,2026-08-15 11:02:00.565024
9,"Stage 1 — Load sources","Source loaded: transcript_raw","info","INFO","1,501,192 rows x 9 cols","from cache, written 2026-08-15 10:11",2026-08-15 11:02:01.853434
10,"Stage 1 — Load sources","Source loaded: stu_demographics","info","INFO","119,308 rows x 11 cols","from cache, written 2026-08-15 10:11",2026-08-15 11:02:01.953
11,"Stage 1 — Load sources","Source loaded: course_coding","info","INFO","4,702 rows x 22 cols","from cache, written 2026-08-15 10:25",2026-08-15 11:02:01.972727
12,"Stage 1 — Load sources","Transcript has expected columns","stop","PASS",NA,"Missing: ",2026-08-15 11:02:02.05789
13,"Stage 1 — Load sources","Demographics has expected columns","stop","PASS",NA,"Missing: ",2026-08-15 11:02:02.061281
14,"Stage 1 — Load sources","Transcript rows","info","INFO","1,501,192",NA,2026-08-15 11:02:02.064145
15,"Stage 1 — Load sources","Demographics rows","info","INFO","119,308",NA,2026-08-15 11:02:02.067211
16,"Stage 2 — Student cleaning","Rename produced all standard columns","stop","PASS","11 columns",NA,2026-08-15 11:02:02.116217
17,"Stage 2 — Student cleaning","Student id and year always present","stop","PASS",NA,NA,2026-08-15 11:02:02.130459
18,"Stage 2 — Student cleaning","Distinct students in raw demographics","info","INFO","51,238",NA,2026-08-15 11:02:02.135808
19,"Stage 2 — Student cleaning","Dates parse: enter date","stop","PASS","119,308 parsed",NA,2026-08-15 11:02:02.911964
20,"Stage 2 — Student cleaning","Dates parse: exit date","stop","PASS","29,192 parsed",NA,2026-08-15 11:02:03.030449
21,"Stage 2 — Student cleaning","Dates missing: exit date","info","INFO","75.5% (90,116 rows)",NA,2026-08-15 11:02:03.032779
22,"Stage 2 — Student cleaning","Dates filled from fallback: exit date -> year end","info","INFO","90,116 (75.5%)",NA,2026-08-15 11:02:03.820829
23,"Stage 2 — Student cleaning","Both dates present after fill","stop","PASS",NA,NA,2026-08-15 11:02:03.833624
24,"Stage 2 — Student cleaning","Exit date is not before enter date","stop","PASS",NA,NA,2026-08-15 11:02:03.836141
25,"Stage 2 — Student cleaning","Spells clamped at the start of the window","info","INFO","23,408",NA,2026-08-15 11:02:06.095726
26,"Stage 2 — Student cleaning","Spells clamped at the end of the window","info","INFO","0",NA,2026-08-15 11:02:06.104616
27,"Stage 2 — Student cleaning","Spells entirely outside the school year","info","INFO","188",NA,2026-08-15 11:02:06.148695
28,"Stage 2 — Student cleaning","Negative-duration spells floored to zero","info","INFO","188",NA,2026-08-15 11:02:06.2851
