"value","n_rows"
100.01,77
100.02,84
100.03,71
100.04,102
100.05,84
100.06,72
100.07,67
100.08,86
100.09,63
100.1,76
100.11,53
100.12,85
100.13,66
100.14,83
100.15,76
100.16,82
100.17,64
100.18,91
100.19,62
100.2,277
100.21,61
100.22,70
100.23,59
100.24,94
100.25,84
100.26,77
100.27,72
100.28,79
100.29,56
100.3,88
100.31,74
100.32,75
100.33,69
100.34,87
100.35,59
100.36,86
100.37,77
100.38,70
100.39,69
100.4,284
100.41,68
100.42,73
100.43,57
100.432,1
100.44,81
100.45,94
100.46,66
100.47,58
100.48,71
100.49,66
100.5,210
100.51,57
100.52,70
100.53,66
100.54,69
100.55,54
100.56,81
100.57,74
100.58,72
100.59,42
100.6,269
100.61,81
100.62,113
100.63,66
100.64,74
100.65,66
100.66,100
100.67,67
100.68,82
100.684,1
100.69,57
100.7,88
100.71,54
100.72,91
100.73,59
100.74,73
100.75,63
100.76,83
100.77,54
100.78,72
100.79,53
100.8,258
100.81,64
100.82,53
100.83,71
100.84,68
100.85,61
100.86,67
100.87,61
100.88,75
100.89,41
100.9,93
100.91,55
100.92,70
100.93,62
100.94,52
100.95,62
100.96,79
100.97,61
100.98,69
100.99,53
101,3929
101.01,41
101.02,58
101.03,52
101.04,66
101.05,71
101.06,84
101.07,59
101.08,79
101.09,49
101.1,74
101.11,54
101.12,62
101.13,50
101.14,79
101.15,65
101.16,65
101.17,53
101.18,80
101.19,58
101.2,296
101.21,52
101.22,60
101.23,51
101.24,61
101.25,82
101.26,77
101.27,67
101.28,76
101.29,38
101.3,69
101.31,64
101.32,76
101.33,59
101.34,66
101.35,67
101.36,78
101.37,67
101.38,69
101.39,52
101.4,245
101.41,58
101.42,65
101.43,41
101.44,66
101.45,69
101.46,62
101.47,55
101.48,67
101.49,54
101.5,211
101.51,44
101.52,61
101.53,57
101.54,70
101.55,65
101.56,70
101.57,56
101.58,61
101.59,58
101.6,246
101.61,42
101.62,68
101.63,56
101.64,60
101.65,64
101.66,69
101.67,50
101.68,62
101.69,53
101.7,76
101.71,40
101.72,80
101.73,55
101.74,62
